 procesor --- simple computer system model
+----------------------------------------------------------+
| HISTOGRAM Time                                           |
+----------------------------------------------------------+
| STATISTIC                                                |
+----------------------------------------------------------+
|  Min = 177.732                 Max = 51723.5             |
|  Number of records = 211                                 |
|  Average value = 8364.88                                 |
|  Standard deviation = 7307.14                            |
+----------------------------------------------------------+
|    from    |     to     |     n    |   rel    |   sum    |
+------------+------------+----------+----------+----------+
|      0.000 |   2000.000 |       31 | 0.146919 | 0.146919 |
|   2000.000 |   4000.000 |       40 | 0.189573 | 0.336493 |
|   4000.000 |   6000.000 |       25 | 0.118483 | 0.454976 |
|   6000.000 |   8000.000 |       22 | 0.104265 | 0.559242 |
|   8000.000 |  10000.000 |       25 | 0.118483 | 0.677725 |
|  10000.000 |  12000.000 |       25 | 0.118483 | 0.796209 |
|  12000.000 |  14000.000 |       12 | 0.056872 | 0.853081 |
|  14000.000 |  16000.000 |        9 | 0.042654 | 0.895735 |
|  16000.000 |  18000.000 |        2 | 0.009479 | 0.905213 |
|  18000.000 |  20000.000 |        4 | 0.018957 | 0.924171 |
|  20000.000 |  22000.000 |        2 | 0.009479 | 0.933649 |
|  22000.000 |  24000.000 |        6 | 0.028436 | 0.962085 |
|  24000.000 |  26000.000 |        4 | 0.018957 | 0.981043 |
|  26000.000 |  28000.000 |        0 | 0.000000 | 0.981043 |
|  28000.000 |  30000.000 |        1 | 0.004739 | 0.985782 |
|  30000.000 |  32000.000 |        0 | 0.000000 | 0.985782 |
|  32000.000 |  34000.000 |        1 | 0.004739 | 0.990521 |
|  34000.000 |  36000.000 |        0 | 0.000000 | 0.990521 |
|  36000.000 |  38000.000 |        0 | 0.000000 | 0.990521 |
|  38000.000 |  40000.000 |        0 | 0.000000 | 0.990521 |
|  40000.000 |  42000.000 |        1 | 0.004739 | 0.995261 |
|  42000.000 |  44000.000 |        0 | 0.000000 | 0.995261 |
|  44000.000 |  46000.000 |        0 | 0.000000 | 0.995261 |
|  46000.000 |  48000.000 |        0 | 0.000000 | 0.995261 |
|  48000.000 |  50000.000 |        0 | 0.000000 | 0.995261 |
+------------+------------+----------+----------+----------+

#
# SIMLIB run-time statistics:
#    StartTime  = 0
#    EndTime    = 1.8e+06
#    EventCount = 22384
#    StepCount  = 0
#
